name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
wor60R-29M-13p1B-100k-bs64-lr1000-mucentering-g0e+00-s1,3.594,3.594,36.369,,,-,-,-,-,-,0.000,797.524,253.464,0.885,37.889,0.149,-0.2065,-0.0000,48.5,-,0.000,237.949,97.450,37.395,0.000,0.000,0.0781,2.4868,19.9,15.5,0.121,-0.051,0.610,0.555,44.51,16114.13,0.28%,-0.0001,3.0938,0.0010,1.1250,2.4219,17.5000,360.0,7723.0
wor60R-29M-13p1B-100k-bs64-lr3-mucentering-g0e+00-s1,3.688,3.688,39.963,,,-,-,-,-,-,0.973,1.635,1.386,0.885,0.033,0.024,-0.0206,-0.0000,2.4,-,0.894,2.829,0.750,0.279,0.000,0.000,-0.0293,-0.0234,12.6,8.9,0.106,-0.088,0.724,0.707,1.61,108.38,1.49%,0.0000,2.5469,0.0001,0.2070,1.9766,15.6250,290.0,7722.5
wor60R-29M-13p1B-100k-bs64-lr30-mucentering-g0e+00-s1,3.586,3.586,36.093,,,-,-,-,-,-,0.477,11.000,9.394,0.885,0.632,0.067,0.0033,0.0000,10.3,-,0.081,13.163,3.670,1.437,0.000,0.000,0.0477,0.3415,12.6,10.2,-0.091,-0.157,0.421,0.344,2.92,497.28,0.59%,0.0001,3.0625,0.0002,0.3438,2.3906,17.1250,326.0,7711.1
wor60R-29M-13p1B-100k-bs64-lr300-mucentering-g0e+00-s1,3.582,3.582,35.930,,,-,-,-,-,-,0.000,117.227,82.448,0.885,9.448,0.115,-0.0008,-0.0000,45.0,-,0.000,73.821,31.607,14.931,0.000,0.000,-0.0143,-0.4463,27.1,24.8,-0.070,-0.234,0.476,0.498,23.52,4195.19,0.56%,0.0003,3.8125,0.0003,0.6523,2.9844,19.3750,370.0,7705.5
wor60R-29M-13p1B-100k-bs64-lr3000-mucentering-g0e+00-s1,3.599,3.599,36.571,,,-,-,-,-,-,nan,2995.109,624.561,0.885,69.060,0.111,-0.3136,-0.0000,47.9,-,0.000,553.281,216.093,99.143,0.000,0.000,-0.0295,-0.7826,14.4,8.8,0.062,-0.036,-0.667,-0.631,125.75,33834.80,0.37%,0.0001,3.0625,0.0002,1.0078,2.3906,17.1250,348.0,7705.7
wor60Z-29M-13p1B-100k-bs64-lr10-zloss-g1e-04-s1,3.613,3.613,37.062,,,-,-,-,-,-,0.954,3.796,3.284,0.885,0.084,0.026,-0.1496,-14.0607,12.2,-,0.018,7.119,3.885,1.293,3.663,0.943,-0.0242,-0.0519,14.6,-1.6,-0.676,-0.684,-0.687,-0.679,2.29,840.72,0.27%,-14.0625,3.1875,4.0938,0.4082,14.0625,30.3750,22.1,7986.4
wor60Z-29M-13p1B-100k-bs64-lr100-zloss-g1e-04-s1,3.586,3.586,36.092,,,-,-,-,-,-,0.005,39.445,30.586,0.885,2.925,0.096,-0.0866,-15.8550,24.1,-,0.000,57.500,29.795,10.834,27.157,0.911,-0.0690,-1.3604,14.5,-3.3,-0.626,-0.668,-0.618,-0.632,7.57,6248.95,0.12%,-15.8750,3.8750,4.4375,0.6836,15.8750,37.5000,15.4,7991.8
wor60Z-29M-13p1B-100k-bs64-lr1000-zloss-g1e-04-s1,3.599,3.599,36.567,,,-,-,-,-,-,0.000,797.872,244.721,0.885,35.756,0.146,-0.0247,-18.4302,38.0,-,0.000,422.916,260.329,160.193,246.578,0.947,0.0790,8.5523,15.5,-12.0,-0.282,-0.292,-0.271,-0.260,43.09,56554.59,0.08%,-18.5000,3.8906,5.0312,0.9688,18.5000,41.5000,11.4,8002.5
wor60Z-29M-13p1B-100k-bs64-lr3-zloss-g1e-04-s1,3.687,3.687,39.944,,,-,-,-,-,-,0.973,1.604,1.386,0.885,0.033,0.024,-0.2600,-13.3369,-1.4,-,0.173,3.172,1.905,0.715,1.789,0.939,0.0072,0.0068,11.4,-1.6,-0.666,-0.648,-0.705,-0.661,1.75,411.37,0.43%,-13.3125,2.9375,4.1875,0.3184,13.3750,27.0000,25.5,7993.0
wor60Z-29M-13p1B-100k-bs64-lr30-zloss-g1e-04-s1,3.585,3.585,36.062,,,-,-,-,-,-,0.337,11.691,9.399,0.885,0.664,0.071,-0.1171,-14.8717,21.6,-,0.000,16.786,9.078,3.711,8.267,0.911,0.0284,0.2902,17.1,0.6,-0.613,-0.656,-0.599,-0.606,4.81,1907.33,0.25%,-14.8750,3.7031,4.2812,0.5273,14.8750,34.7500,19.8,7996.5
