name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
worC0A-221M-13p1B-100k-bs64-lr3-baseline-g0e+00-s1,3.090,3.090,21.986,,,-,-,-,-,-,0.943,2.022,1.816,0.931,0.056,0.031,-0.1523,-4.3941,14.3,-,0.317,2.766,1.484,0.640,1.204,0.812,-0.0080,-0.0108,9.1,3.1,-0.646,-0.657,-0.739,-0.682,1.20,285.69,0.42%,-4.4062,2.4062,3.9531,0.1963,5.3438,17.0000,191.0,39792.7
worC0A-221M-13p1B-100k-bs64-lr30-baseline-g0e+00-s1,3.050,3.050,21.119,,,-,-,-,-,-,0.241,19.083,14.484,0.931,1.264,0.087,0.0506,5.8281,31.3,-,0.009,14.985,8.643,4.318,5.625,0.651,0.0295,0.7638,26.7,16.0,-0.573,-0.587,-0.741,-0.673,2.97,1334.52,0.22%,5.8125,2.9844,10.3125,0.3691,9.7500,26.3750,720.0,39868.1
worC0A-221M-13p1B-100k-bs64-lr300-baseline-g0e+00-s1,3.153,3.153,23.398,,,-,-,-,-,-,0.000,635.792,123.937,0.931,8.554,0.069,0.0496,35.3538,41.4,-,0.000,154.559,97.635,51.693,75.824,0.777,-0.0034,-0.2737,19.7,-0.2,-0.428,-0.435,-0.531,-0.482,7.71,17746.93,0.04%,35.2500,3.1719,23.6250,0.9062,37.2500,55.0000,3504.0,39749.2
worC0A-221M-13p1B-100k-bs64-lr3000-baseline-g0e+00-s1,5.099,5.099,163.904,,,-,-,-,-,-,0.000,1466.159,472.900,0.931,66.438,0.140,0.2328,1540.9585,51.2,-,0.000,896.274,582.551,351.697,446.517,0.766,0.0030,2.9360,29.8,10.9,-0.431,-0.450,-0.574,-0.544,117.48,103745.96,0.11%,1544.0000,5.4375,624.0000,1.4766,1544.0000,1560.0000,2834432.0,39600.4
worC0E-221M-13p1B-100k-bs64-lr10-muloss-g1e-01-s1,3.051,3.051,21.142,,,-,-,-,-,-,0.715,6.024,5.020,0.931,0.329,0.066,-0.3654,-3.9651,15.8,-,0.316,38.105,3.266,1.297,0.343,0.105,0.0102,0.1065,22.3,13.4,-0.493,-0.345,0.219,-0.306,1.87,1143.47,0.16%,-3.9688,2.5312,3.1719,0.6953,4.6875,18.1250,206.0,39770.3
worC0E-221M-13p1B-100k-bs64-lr100-muloss-g1e-01-s1,3.073,3.073,21.615,,,-,-,-,-,-,0.000,77.772,45.458,0.931,4.028,0.089,-0.7803,-0.7628,32.5,-,0.000,35.144,20.593,7.909,0.150,0.007,-0.0509,-1.3336,40.6,39.5,0.098,-0.017,-0.146,-0.103,9.22,1467.28,0.63%,-0.7617,2.6719,0.5039,0.5898,2.2188,16.7500,314.0,39753.9
worC0E-221M-13p1B-100k-bs64-lr1000-muloss-g1e-01-s1,3.125,3.125,22.751,,,-,-,-,-,-,0.000,503.416,250.751,0.931,34.770,0.139,-0.5802,-0.0137,50.3,-,0.000,329.332,156.428,45.695,0.044,0.000,-0.0242,-0.4470,39.1,37.1,0.273,0.109,0.091,0.116,37.23,5541.31,0.67%,-0.0138,2.6250,0.0859,1.5469,1.9766,17.8750,406.0,39487.6
worC0E-221M-13p1B-100k-bs64-lr3-muloss-g1e-01-s1,3.090,3.090,21.968,,,-,-,-,-,-,0.946,2.019,1.816,0.931,0.056,0.031,-0.2726,-3.0468,14.4,-,0.477,16.040,1.338,0.532,0.341,0.255,-0.0849,-0.1569,16.4,4.0,-0.491,-0.375,0.269,-0.279,1.24,473.00,0.26%,-3.0469,2.5156,2.8438,1.3750,3.9062,17.7500,220.0,39810.8
worC0E-221M-13p1B-100k-bs64-lr30-muloss-g1e-01-s1,3.049,3.049,21.097,,,-,-,-,-,-,0.072,18.454,14.445,0.931,1.278,0.088,-0.4583,-1.9632,33.4,-,0.000,26.448,6.842,3.083,0.263,0.038,0.0546,1.1369,35.9,33.7,-0.471,-0.255,0.146,-0.055,2.54,917.00,0.28%,-1.9609,2.5312,1.3750,0.3398,2.8750,16.3750,272.0,39748.6
worC0E-221M-13p1B-100k-bs64-lr300-muloss-g1e-01-s1,3.087,3.087,21.903,,,-,-,-,-,-,0.000,651.154,117.393,0.931,9.269,0.079,-0.9362,-0.7411,33.4,-,0.000,96.898,53.605,27.993,0.190,0.004,-0.0558,-2.1508,33.9,31.7,-0.104,-0.129,0.255,0.214,13.07,3412.91,0.38%,-0.7422,2.6719,1.3984,0.9180,2.4219,17.7500,342.0,39704.7
worC0E-221M-13p1B-100k-bs64-lr3000-muloss-g1e-01-s1,3.204,3.204,24.631,,,-,-,-,-,-,0.000,1457.062,486.612,0.931,69.833,0.144,-0.8305,-0.0094,48.3,-,0.000,544.204,289.905,107.934,0.020,0.000,-0.0156,-0.6223,32.7,29.1,0.368,0.227,-0.389,-0.366,117.54,13526.51,0.87%,-0.0095,2.4844,0.0084,0.8477,1.8906,16.8750,350.0,39651.2
worC0R-221M-13p1B-100k-bs64-lr10-mucentering-g0e+00-s1,3.051,3.051,21.135,,,-,-,-,-,-,0.718,6.014,5.020,0.931,0.324,0.065,-0.0018,-0.0000,19.6,-,0.451,6.917,2.619,1.252,0.000,0.000,0.0115,0.0773,18.6,14.6,-0.047,-0.187,-0.396,-0.406,1.97,257.82,0.76%,-0.0000,2.7969,0.0002,0.2676,2.1719,17.2500,338.0,39971.4
worC0R-221M-13p1B-100k-bs64-lr100-mucentering-g0e+00-s1,3.073,3.073,21.604,,,-,-,-,-,-,0.000,71.371,45.511,0.931,3.986,0.088,0.0151,0.0000,25.4,-,0.000,54.659,23.088,12.198,0.000,0.000,-0.0375,-0.5297,21.6,20.5,0.009,-0.118,-0.588,-0.504,9.35,2320.41,0.40%,0.0002,3.1406,0.0002,0.5352,2.4219,18.7500,366.0,39832.4
worC0R-221M-13p1B-100k-bs64-lr1000-mucentering-g0e+00-s1,3.127,3.127,22.815,,,-,-,-,-,-,0.000,484.223,253.522,0.931,38.520,0.152,-0.3285,-0.0000,49.0,-,0.000,321.623,177.940,96.934,0.000,0.000,0.0720,1.4162,33.9,32.0,-0.016,-0.077,0.609,0.569,74.60,17230.95,0.43%,0.0001,3.0469,0.0002,2.0625,2.3594,18.6250,456.0,39771.7
worC0R-221M-13p1B-100k-bs64-lr3-mucentering-g0e+00-s1,3.091,3.091,21.989,,,-,-,-,-,-,0.944,2.032,1.816,0.931,0.055,0.030,0.0319,0.0000,12.7,-,0.872,2.826,0.953,0.432,0.000,0.000,0.0137,0.0188,17.3,14.9,0.142,-0.016,0.654,0.591,1.28,116.06,1.10%,0.0000,2.4375,0.0001,0.2129,1.8828,16.3750,312.0,39830.2
worC0R-221M-13p1B-100k-bs64-lr30-mucentering-g0e+00-s1,3.050,3.050,21.126,,,-,-,-,-,-,0.264,18.385,14.443,0.931,1.286,0.089,0.0269,0.0000,25.3,-,0.000,20.689,7.985,4.487,0.000,0.000,0.0198,0.2915,22.8,18.6,-0.177,-0.296,0.665,0.655,3.28,892.12,0.37%,0.0000,3.1406,0.0001,0.3809,2.4375,18.0000,358.0,39964.5
worC0R-221M-13p1B-100k-bs64-lr300-mucentering-g0e+00-s1,3.113,3.113,22.484,,,-,-,-,-,-,0.000,168.087,92.136,0.931,15.522,0.168,-0.0746,-0.0000,39.3,-,0.000,112.924,61.297,29.759,0.000,0.000,0.0077,0.1291,23.4,21.9,-0.073,-0.179,-0.586,-0.520,19.03,6068.02,0.31%,0.0001,3.1094,0.0001,1.0156,2.4219,18.2500,382.0,39759.7
worC0R-221M-13p1B-100k-bs64-lr3000-mucentering-g0e+00-s1,3.208,3.208,24.719,,,-,-,-,-,-,0.000,1561.665,509.270,0.931,65.962,0.130,-0.3837,-0.0000,45.1,-,0.000,721.419,385.023,191.597,0.000,0.000,0.0234,0.2769,30.1,29.3,0.204,0.096,-0.195,-0.149,124.18,35525.16,0.35%,-0.0001,2.6875,0.0002,0.6172,2.0781,17.1250,348.0,39855.0
worC0Z-221M-13p1B-100k-bs64-lr10-zloss-g1e-04-s1,3.050,3.050,21.108,,,-,-,-,-,-,0.704,6.006,5.020,0.931,0.336,0.067,-0.1191,-15.0723,7.3,-,0.010,8.412,4.865,2.285,4.125,0.848,-0.0595,-0.6134,16.8,1.1,-0.549,-0.573,-0.597,-0.573,1.99,949.59,0.21%,-15.0625,3.3594,4.3125,0.4062,15.0625,32.5000,19.2,40228.3
worC0Z-221M-13p1B-100k-bs64-lr100-zloss-g1e-04-s1,3.069,3.069,21.516,,,-,-,-,-,-,0.000,65.751,45.436,0.931,4.066,0.089,-0.0359,-16.2169,27.3,-,0.000,58.624,37.277,18.309,29.977,0.804,0.0051,0.3118,27.4,7.9,-0.630,-0.639,-0.710,-0.660,6.46,6835.16,0.09%,-16.2500,3.7500,5.0625,0.7617,16.2500,35.0000,16.5,40234.3
worC0Z-221M-13p1B-100k-bs64-lr1000-zloss-g1e-04-s1,3.173,3.173,23.883,,,-,-,-,-,-,0.000,510.091,245.185,0.931,46.069,0.188,-0.0057,-21.2120,51.5,-,0.000,617.302,427.721,249.412,388.276,0.908,0.0423,18.8251,32.1,-1.0,-0.523,-0.515,-0.548,-0.531,55.95,88228.52,0.06%,-21.2500,9.6250,6.4375,7.4688,21.2500,102.5000,5.0,39826.7
worC0Z-221M-13p1B-100k-bs64-lr3-zloss-g1e-04-s1,3.089,3.089,21.962,,,-,-,-,-,-,0.943,2.021,1.816,0.931,0.056,0.031,-0.2074,-14.0121,12.4,-,0.161,3.763,2.117,0.924,1.881,0.888,-0.0048,-0.0096,11.9,6.3,-0.585,-0.595,-0.638,-0.610,1.50,434.94,0.35%,-14.0000,3.2500,4.2500,0.3750,14.0000,30.0000,26.5,40162.6
worC0Z-221M-13p1B-100k-bs64-lr30-zloss-g1e-04-s1,3.049,3.049,21.092,,,-,-,-,-,-,0.128,18.860,14.458,0.931,1.259,0.087,-0.0978,-16.4138,26.4,-,0.000,22.033,12.903,6.353,10.646,0.825,-0.0494,-0.9815,28.3,13.3,-0.578,-0.540,-0.594,-0.493,4.90,2436.03,0.20%,-16.3750,3.9844,4.7812,0.7969,16.5000,37.0000,17.1,39963.4
worC0Z-221M-13p1B-100k-bs64-lr300-zloss-g1e-04-s1,3.091,3.091,21.990,,,-,-,-,-,-,0.000,578.520,121.930,0.931,10.500,0.086,-0.0343,-17.9221,31.3,-,0.000,194.243,117.572,61.112,96.450,0.820,-0.0665,-3.7867,27.6,-1.4,-0.565,-0.532,-0.542,-0.507,13.99,22060.09,0.06%,-18.0000,4.4688,5.5000,1.2812,18.0000,46.7500,9.8,39999.5
worC0Z-221M-13p1B-100k-bs64-lr3000-zloss-g1e-04-s1,3.478,3.478,32.380,,,-,-,-,-,-,0.000,1917.500,534.590,0.931,59.750,0.112,-0.0019,-19.0012,53.0,-,0.000,1455.768,1133.168,586.139,1070.739,0.945,-0.0259,-14.8185,22.4,-0.5,-0.637,-0.605,-0.655,-0.623,49.96,241645.20,0.02%,-19.1250,4.9062,5.2500,2.8750,19.1250,67.5000,9.8,40212.6
wor40E-16M-13p1B-100k-bs64-lr10-muloss-g1e+02-s1,3.883,3.883,48.570,,,-,-,-,-,-,0.864,3.443,2.835,0.891,0.143,0.050,-0.8921,-0.0810,-4.9,-,0.185,6.035,0.915,0.239,0.002,0.003,-0.0587,-0.3305,22.5,14.4,-0.477,-0.268,-0.309,-0.121,1.98,218.31,0.91%,-0.0806,2.2812,0.0459,0.2090,1.7344,14.9375,987.9,4893.0
wor40E-16M-13p1B-100k-bs64-lr10-muloss-g1e-04-s1,3.881,3.881,48.451,,,-,-,-,-,-,0.865,3.580,2.837,0.891,0.145,0.051,-0.0442,-2.0150,1.0,-,0.119,5.005,2.437,0.914,2.213,0.908,0.0233,0.0700,6.0,3.1,-0.647,-0.696,-0.671,-0.684,1.95,520.12,0.37%,-2.0156,2.7812,7.8438,0.2793,6.8438,20.3750,883.6,4883.2
wor40E-16M-13p1B-100k-bs64-lr10-muloss-g1e-07-s1,3.881,3.881,48.450,,,-,-,-,-,-,0.865,3.586,2.837,0.891,0.144,0.051,-0.0359,-1.6053,-4.8,-,0.110,4.794,2.425,0.938,2.206,0.910,0.0580,0.1698,2.2,-1.3,-0.692,-0.711,-0.724,-0.699,1.92,521.81,0.37%,-1.6094,2.8438,8.6250,0.2930,7.2812,21.1250,909.3,4887.9
wor40E-16M-13p1B-100k-bs64-lr100-muloss-g1e+02-s1,3.839,3.839,46.485,,,-,-,-,-,-,0.024,32.842,26.071,0.891,2.464,0.095,-0.9386,-0.0123,6.4,-,0.000,22.986,8.645,2.988,0.001,0.000,-0.0407,-1.6289,7.5,5.7,-0.368,-0.363,-0.059,0.009,4.38,1609.83,0.27%,-0.0126,2.7656,0.0093,0.4453,2.1250,16.7500,384.9,4888.3
wor40E-16M-13p1B-100k-bs64-lr100-muloss-g1e-04-s1,3.839,3.839,46.473,,,-,-,-,-,-,0.005,34.505,26.213,0.891,2.613,0.100,0.0117,1.2301,11.6,-,0.000,36.315,15.545,6.861,12.478,0.803,-0.0700,-1.5425,21.1,9.1,-0.620,-0.560,-0.200,-0.319,6.54,2897.33,0.23%,1.2266,3.1562,11.4375,0.6133,9.5625,25.8750,116.6,4882.8
wor40E-16M-13p1B-100k-bs64-lr100-muloss-g1e-07-s1,3.840,3.840,46.512,,,-,-,-,-,-,0.005,32.199,26.149,0.891,2.546,0.097,0.0309,5.4700,13.2,-,0.000,41.964,20.958,6.682,18.999,0.907,0.0056,0.1332,9.3,-2.4,-0.683,-0.707,-0.697,-0.676,6.59,4447.74,0.15%,5.4688,3.4531,11.1875,0.5078,10.5000,27.2500,100.3,4884.9
wor40E-16M-13p1B-100k-bs64-lr1000-muloss-g1e+02-s1,3.811,3.811,45.211,,,-,-,-,-,-,0.000,378.867,226.301,0.891,32.246,0.142,-0.9807,-0.0003,42.0,-,0.000,57.428,21.549,8.696,0.000,0.000,-0.0508,-3.7413,48.2,42.3,0.429,0.385,-0.248,-0.175,55.24,786.98,7.02%,-0.0002,2.9531,0.0001,0.4980,2.2812,17.2500,29.6,4893.4
wor40E-16M-13p1B-100k-bs64-lr1000-muloss-g1e-04-s1,3.839,3.839,46.479,,,-,-,-,-,-,0.000,371.434,220.949,0.891,33.982,0.154,-0.2259,-10.5679,44.3,-,0.000,460.828,72.103,23.957,19.245,0.267,-0.1847,-15.2589,12.6,5.5,-0.524,-0.321,-0.656,-0.598,32.86,19351.04,0.17%,-10.5625,3.0312,20.8750,0.6172,18.1250,34.0000,32.4,4901.9
wor40E-16M-13p1B-100k-bs64-lr1000-muloss-g1e-07-s1,3.977,3.977,53.381,,,-,-,-,-,-,0.000,334.981,221.723,0.891,35.779,0.161,0.1914,310.3896,46.6,-,0.000,261.792,150.377,102.428,131.945,0.877,-0.1182,-51.9791,12.8,0.1,-0.398,-0.491,-0.506,-0.512,46.14,30282.93,0.15%,310.0000,5.5625,112.5000,1.4844,310.0000,330.0000,30.8,4888.8
wor40E-16M-13p1B-100k-bs64-lr3-muloss-g1e+02-s1,3.964,3.964,52.683,,,-,-,-,-,-,0.961,1.593,1.289,0.796,0.048,0.037,-0.8218,-0.0480,2.7,-,0.991,1.315,0.406,0.168,0.002,0.004,-0.0788,-0.1211,31.4,27.6,0.450,0.307,-0.322,-0.148,1.91,28.18,6.77%,-0.0481,2.2031,0.0371,0.1689,1.6484,14.6875,1718.5,4896.5
wor40E-16M-13p1B-100k-bs64-lr3-muloss-g1e-04-s1,3.961,3.961,52.497,,,-,-,-,-,-,0.960,1.565,1.288,0.825,0.049,0.038,-0.2195,-6.1448,7.0,-,0.216,2.997,1.541,0.490,1.430,0.928,-0.0600,-0.0576,5.3,-0.4,-0.701,-0.685,-0.748,-0.696,1.84,336.54,0.55%,-6.1562,2.5625,6.1875,0.2119,7.7500,19.1250,783.1,4887.6
wor40E-16M-13p1B-100k-bs64-lr3-muloss-g1e-07-s1,3.961,3.961,52.507,,,-,-,-,-,-,0.960,1.570,1.288,0.823,0.049,0.038,-0.2179,-6.1517,8.2,-,0.212,2.970,1.549,0.494,1.438,0.928,-0.0453,-0.0436,5.2,-0.3,-0.719,-0.685,-0.763,-0.697,1.81,339.27,0.53%,-6.1562,2.5781,6.1250,0.2168,7.7500,19.1250,766.9,4887.5
wor40E-16M-13p1B-100k-bs64-lr30-muloss-g1e+02-s1,3.850,3.850,47.001,,,-,-,-,-,-,0.548,11.141,7.947,0.891,0.412,0.052,-0.8203,-0.0238,3.1,-,0.218,13.829,2.287,0.841,0.001,0.001,0.0160,0.1354,27.0,21.8,-0.502,-0.346,-0.207,-0.052,2.14,485.19,0.44%,-0.0237,2.4375,0.0242,0.3184,1.8438,15.6875,1605.3,4889.3
wor40E-16M-13p1B-100k-bs64-lr30-muloss-g1e-04-s1,3.849,3.849,46.941,,,-,-,-,-,-,0.637,10.195,7.951,0.891,0.423,0.053,0.0135,1.2232,13.5,-,0.009,11.740,5.982,2.334,5.562,0.930,0.0121,0.0839,11.5,1.9,-0.535,-0.620,-0.582,-0.621,2.69,1293.39,0.21%,1.2188,3.0469,10.6875,0.3848,8.9375,24.1250,518.8,4889.6
wor40E-16M-13p1B-100k-bs64-lr30-muloss-g1e-07-s1,3.850,3.850,47.003,,,-,-,-,-,-,0.553,9.888,7.950,0.891,0.419,0.053,-0.0065,-0.5053,5.3,-,0.001,12.817,6.380,2.511,5.889,0.923,-0.0060,-0.0337,15.4,7.2,-0.718,-0.709,-0.764,-0.711,3.17,1372.56,0.23%,-0.5078,3.0938,12.5000,0.4102,10.3125,25.7500,274.8,4897.3
wor40E-16M-13p1B-100k-bs64-lr300-muloss-g1e+02-s1,3.836,3.836,46.331,,,-,-,-,-,-,0.000,100.601,74.497,0.891,7.961,0.107,-0.8232,-0.0006,26.9,-,0.000,41.491,13.768,6.886,0.000,0.000,-0.0497,-1.6481,35.1,29.6,0.203,0.208,-0.069,-0.023,24.26,989.99,2.45%,-0.0005,2.9531,0.0004,0.4453,2.2500,18.2500,37.5,4894.9
wor40E-16M-13p1B-100k-bs64-lr300-muloss-g1e-04-s1,3.843,3.843,46.665,,,-,-,-,-,-,0.000,100.535,73.743,0.891,7.289,0.099,0.1950,24.3254,20.8,-,0.000,178.954,31.115,15.621,17.828,0.573,0.0480,2.4487,13.2,2.5,-0.535,-0.430,0.355,0.013,15.17,6533.82,0.23%,24.3750,3.4375,22.5000,0.7227,28.6250,45.2500,45.5,4888.9
wor40E-16M-13p1B-100k-bs64-lr300-muloss-g1e-07-s1,3.863,3.863,47.614,,,-,-,-,-,-,0.000,97.456,72.099,0.891,7.268,0.101,0.1913,96.7615,25.9,-,0.000,104.014,59.827,29.199,55.528,0.928,0.0630,4.1679,6.8,-8.7,-0.669,-0.707,-0.703,-0.698,12.73,12885.41,0.10%,96.5000,3.8281,35.0000,0.5820,97.0000,114.0000,34.9,4895.0
wor40E-16M-13p1B-100k-bs64-lr3000-muloss-g1e+02-s1,3.816,3.816,45.421,,,-,-,-,-,-,nan,1790.597,581.081,0.891,95.277,0.164,-0.9459,-0.0000,49.9,-,0.000,62.539,25.677,4.789,0.000,0.000,0.0406,2.7084,51.6,47.3,0.522,0.430,-0.400,-0.346,53.01,1164.98,4.55%,-0.0000,3.1719,0.0000,0.6680,2.4688,17.2500,29.2,4889.7
wor40E-16M-13p1B-100k-bs64-lr3000-muloss-g1e-04-s1,3.845,3.845,46.780,,,-,-,-,-,-,nan,2071.394,580.359,0.891,80.735,0.139,-0.3566,-1.5691,47.0,-,0.000,229.024,84.970,37.047,8.280,0.097,-0.0588,-2.5228,25.1,18.4,0.217,0.195,-0.163,-0.082,66.82,6436.10,1.04%,-1.5703,2.9531,8.8125,0.6875,7.5938,24.1250,29.6,4901.4
wor40E-16M-13p1B-100k-bs64-lr3000-muloss-g1e-07-s1,4.597,4.597,99.219,,,-,-,-,-,-,nan,2127.011,594.854,0.891,83.580,0.141,0.3133,759.2161,47.6,-,0.000,627.196,359.672,258.667,322.228,0.896,0.1005,63.1509,18.1,-12.3,-0.458,-0.464,-0.256,-0.323,158.22,73592.19,0.21%,760.0000,19.5000,324.0000,11.6875,760.0000,780.0000,32.3,4878.9
wor40Z-16M-13p1B-100k-bs64-lr10-zloss-g1e+02-s1,4.188,4.188,65.876,,,-,-,-,-,-,0.542,3.841,2.776,0.891,0.573,0.207,-0.4079,-17.8327,45.3,-,0.023,7.991,4.333,1.845,3.203,0.739,0.0462,0.3614,42.8,31.9,-0.512,-0.672,-0.481,-0.587,9.45,750.33,1.26%,-17.8750,3.9062,2.3906,0.7266,17.8750,36.5000,39.5,5176.4
wor40Z-16M-13p1B-100k-bs64-lr10-zloss-g1e-01-s1,3.856,3.856,47.288,,,-,-,-,-,-,0.666,3.847,2.876,0.891,0.340,0.118,-0.1271,-17.6769,16.9,-,0.010,7.765,4.468,2.001,4.255,0.952,0.0546,0.6064,14.5,0.6,-0.558,-0.557,-0.530,-0.489,2.62,968.07,0.27%,-17.6250,3.5312,2.1250,0.6016,17.6250,35.0000,409.7,5175.9
wor40Z-16M-13p1B-100k-bs64-lr10-zloss-g1e-07-s1,3.881,3.881,48.473,,,-,-,-,-,-,0.878,3.528,2.836,0.891,0.144,0.051,-0.0239,-1.1656,0.3,-,0.121,4.751,2.448,0.913,2.230,0.911,0.0694,0.2195,2.4,1.0,-0.703,-0.715,-0.736,-0.703,1.86,525.07,0.35%,-1.1641,2.7812,8.8750,0.2793,7.2188,20.7500,1021.8,5196.0
wor40Z-16M-13p1B-100k-bs64-lr100-zloss-g1e+02-s1,4.600,4.600,99.490,,,-,-,-,-,-,0.001,31.652,19.128,0.891,4.390,0.229,-0.1456,-17.8318,40.2,-,0.000,48.261,26.279,3.543,12.583,0.479,0.0564,2.4113,37.5,34.4,-0.195,-0.377,-0.120,-0.281,7.38,3348.52,0.22%,-17.8750,4.8125,1.9922,0.7109,17.8750,68.0000,37.1,5185.3
wor40Z-16M-13p1B-100k-bs64-lr100-zloss-g1e-01-s1,3.835,3.835,46.279,,,-,-,-,-,-,0.010,33.726,26.411,0.891,3.616,0.137,-0.0786,-18.5497,26.5,-,0.000,45.256,25.582,12.522,23.797,0.930,-0.0585,-2.0967,23.4,4.5,-0.586,-0.568,-0.623,-0.561,7.25,5397.07,0.13%,-18.5000,4.1562,2.3594,0.6367,18.5000,42.0000,92.9,5182.9
wor40Z-16M-13p1B-100k-bs64-lr100-zloss-g1e-07-s1,3.844,3.844,46.703,,,-,-,-,-,-,0.014,33.171,26.126,0.891,2.526,0.097,0.0758,17.0918,7.6,-,0.000,42.888,20.502,8.500,18.917,0.923,0.0041,0.1236,-0.2,1.3,-0.651,-0.665,-0.675,-0.643,6.66,4451.45,0.15%,17.1250,3.3281,23.6250,0.4766,22.8750,39.0000,111.2,5178.3
wor40Z-16M-13p1B-100k-bs64-lr1000-zloss-g1e+02-s1,6.358,6.358,577.274,,,-,-,-,-,-,0.000,249.205,44.542,0.891,6.853,0.154,-0.2078,-15.0147,-5.5,-,0.000,122.635,36.217,7.028,19.131,0.528,0.0096,0.2486,14.5,-3.3,-0.096,-0.174,-0.121,-0.225,78.74,5415.00,1.45%,-15.0000,3.5469,0.8555,0.5625,15.0000,46.5000,29.3,5189.9
wor40Z-16M-13p1B-100k-bs64-lr1000-zloss-g1e-01-s1,3.847,3.847,46.862,,,-,-,-,-,-,0.000,954.896,239.666,0.891,45.852,0.191,-0.0084,-18.6419,51.8,-,0.000,495.904,324.544,127.953,318.641,0.982,-0.0230,-7.3109,28.7,-9.8,-0.664,-0.601,-0.672,-0.604,17.17,72071.59,0.02%,-18.7500,4.0000,2.5938,0.5977,18.7500,43.0000,32.9,5171.8
wor40Z-16M-13p1B-100k-bs64-lr1000-zloss-g1e-07-s1,3.858,3.858,47.360,,,-,-,-,-,-,0.000,346.841,225.459,0.891,30.546,0.135,0.0505,47.8265,48.0,-,0.000,310.980,155.157,75.899,139.902,0.902,-0.0158,-3.2619,16.9,-5.8,-0.502,-0.483,-0.547,-0.486,14.33,33394.56,0.04%,47.7500,3.8906,38.2500,0.9141,52.2500,70.0000,34.1,5197.3
wor40Z-16M-13p1B-100k-bs64-lr3-zloss-g1e+02-s1,4.267,4.267,71.332,,,-,-,-,-,-,0.732,2.150,1.355,0.888,0.294,0.217,-0.6768,-16.9246,35.7,-,0.079,4.216,2.918,1.407,2.482,0.851,-0.0751,-0.2228,40.1,23.1,-0.661,-0.725,-0.754,-0.790,8.27,562.22,1.47%,-16.8750,3.1719,1.6172,0.2734,16.8750,30.0000,37.7,5175.1
wor40Z-16M-13p1B-100k-bs64-lr3-zloss-g1e-01-s1,3.936,3.936,51.202,,,-,-,-,-,-,0.894,1.668,1.304,0.752,0.114,0.088,-0.2243,-17.1294,16.7,-,0.052,4.216,3.058,1.246,3.005,0.982,0.0114,0.0332,25.4,-5.1,-0.754,-0.674,-0.768,-0.680,1.98,678.59,0.29%,-17.1250,3.0625,1.8203,0.2832,17.1250,31.5000,594.6,5188.8
wor40Z-16M-13p1B-100k-bs64-lr3-zloss-g1e-07-s1,3.961,3.961,52.506,,,-,-,-,-,-,0.960,1.581,1.288,0.823,0.049,0.038,-0.2205,-6.2169,11.1,-,0.212,2.976,1.548,0.491,1.438,0.928,-0.0662,-0.0636,5.0,-0.5,-0.719,-0.686,-0.763,-0.697,1.82,339.19,0.54%,-6.2188,2.5781,6.1250,0.2168,7.7812,19.1250,767.2,5196.6
wor40Z-16M-13p1B-100k-bs64-lr30-zloss-g1e+02-s1,4.245,4.245,69.779,,,-,-,-,-,-,0.122,10.031,7.342,0.891,1.451,0.198,-0.2372,-18.2719,42.3,-,0.050,17.635,9.686,2.460,4.924,0.508,0.0506,1.1475,46.5,42.0,-0.391,-0.594,-0.280,-0.396,9.02,1312.30,0.69%,-18.2500,4.4688,2.7031,1.2891,18.2500,51.7500,51.9,5188.2
wor40Z-16M-13p1B-100k-bs64-lr30-zloss-g1e-01-s1,3.844,3.844,46.697,,,-,-,-,-,-,0.301,11.191,8.153,0.891,1.196,0.147,-0.1331,-17.9864,13.2,-,0.000,15.001,8.889,4.320,8.489,0.955,-0.1667,-3.1734,10.9,1.5,-0.670,-0.659,-0.648,-0.610,3.66,1928.60,0.19%,-18.0000,3.6719,2.4688,0.5781,18.0000,38.2500,314.3,5182.8
wor40Z-16M-13p1B-100k-bs64-lr30-zloss-g1e-07-s1,3.850,3.850,46.999,,,-,-,-,-,-,0.540,10.437,7.955,0.891,0.421,0.053,-0.0237,-1.8713,9.4,-,0.003,13.689,6.380,2.585,5.726,0.897,0.0291,0.1692,-0.2,6.0,-0.645,-0.669,-0.643,-0.607,4.00,1369.20,0.29%,-1.8750,3.2969,11.4375,0.5195,9.8750,26.0000,275.3,5186.1
